threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,is_current
0.8,21,2,178,19,0.9045,0.913,0.525,0.9889,0.6667,
0.85,28,2,178,12,0.9364,0.9333,0.7,0.9889,0.8,
0.9,31,3,177,9,0.9455,0.9118,0.775,0.9833,0.8378,
0.95,34,3,177,6,0.9591,0.9189,0.85,0.9833,0.8831,
1.0,36,3,177,4,0.9682,0.9231,0.9,0.9833,0.9114,
1.05,37,8,172,3,0.95,0.8222,0.925,0.9556,0.8706,
1.1,39,9,171,1,0.9545,0.8125,0.975,0.95,0.8864,
1.15,39,14,166,1,0.9318,0.7358,0.975,0.9222,0.8387,<-- current
1.2,40,18,162,0,0.9182,0.6897,1.0,0.9,0.8163,
1.25,40,24,156,0,0.8909,0.625,1.0,0.8667,0.7692,
1.3,40,34,146,0,0.8455,0.5405,1.0,0.8111,0.7018,
1.35,40,46,134,0,0.7909,0.4651,1.0,0.7444,0.6349,
1.4,40,59,121,0,0.7318,0.404,1.0,0.6722,0.5755,
1.45,40,80,100,0,0.6364,0.3333,1.0,0.5556,0.5,
1.5,40,103,77,0,0.5318,0.2797,1.0,0.4278,0.4372,
1.55,40,119,61,0,0.4591,0.2516,1.0,0.3389,0.402,
1.6,40,149,31,0,0.3227,0.2116,1.0,0.1722,0.3493,
